date,rank,song,artist,last-week,peak-rank,weeks-on-board
29/05/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,8
05/06/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,9
12/06/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,10
19/06/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,11
26/06/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,12
03/07/1982,1,Don't You Want Me,The Human League,2,1,18
10/07/1982,1,Don't You Want Me,The Human League,1,1,19
17/07/1982,1,Don't You Want Me,The Human League,1,1,20
24/07/1982,1,Eye Of The Tiger,Survivor,4,1,8
31/07/1982,1,Eye Of The Tiger,Survivor,1,1,9
07/08/1982,1,Eye Of The Tiger,Survivor,1,1,10
14/08/1982,1,Eye Of The Tiger,Survivor,1,1,11
21/08/1982,1,Eye Of The Tiger,Survivor,1,1,12
28/08/1982,1,Eye Of The Tiger,Survivor,1,1,13
04/09/1982,1,Abracadabra,The Steve Miller Band,3,1,15
11/09/1982,1,Hard To Say I'm Sorry,Chicago,3,1,15
18/09/1982,1,Hard To Say I'm Sorry,Chicago,1,1,16
25/09/1982,1,Abracadabra,The Steve Miller Band,2,1,18
02/10/1982,1,Jack & Diane,John Cougar,2,1,11
09/10/1982,1,Jack & Diane,John Cougar,1,1,12
16/10/1982,1,Jack & Diane,John Cougar,1,1,13
23/10/1982,1,Jack & Diane,John Cougar,1,1,14
30/10/1982,1,Who Can It Be Now?,Men At Work,2,1,17
06/11/1982,1,Up Where We Belong,Joe Cocker And Jennifer Warnes,5,1,12
13/11/1982,1,Up Where We Belong,Joe Cocker And Jennifer Warnes,1,1,13
20/11/1982,1,Up Where We Belong,Joe Cocker And Jennifer Warnes,1,1,14
27/11/1982,1,Truly,Lionel Richie,2,1,8
04/12/1982,1,Truly,Lionel Richie,1,1,9
11/12/1982,1,Mickey,Toni Basil,3,1,15
18/12/1982,1,Maneater,Daryl Hall John Oates,3,1,10
25/12/1982,1,Maneater,Daryl Hall John Oates,1,1,11
01/01/1983,1,Maneater,Daryl Hall John Oates,,1,12
08/01/1983,1,Maneater,Daryl Hall John Oates,1,1,13
